src,dst,relation
4869973,Frederiksberg,Has Property
65212765,Frederiksberg,Has Property
3105769,Frederiksberg,Has Property
60883868,Indre By,Has Property
33889201,Wimbledon,Has Property
116723407,Tooting Bec,Has Property
16698845,Neukölln,Has Property
2436760,Neukölln,Has Property
10889473,Alt-Treptow,Has Property
16630735,Oberschöneweide,Has Property
21679993,Neukölln,Has Property
14785872,NULL,Has Property
871297,NULL,Has Property
8705170,NULL,Has Property
30416812,NULL,Has Property
48703385,Oud-West,Has Property
8153186,NULL,Has Property
2204326,Grachtengordel,Has Property
80941904,De Pijp,Has Property
2309485,Rivierenbuurt,Has Property
36533386,Hoofddorppleinbuurt,Has Property
75206611,Stadionbuurt,Has Property
8362084,Hoofddorppleinbuurt,Has Property
3155928,NULL,Has Property
19630412,Oud-West,Has Property
104500632,NULL,Has Property
23142038,NULL,Has Property
30368314,Exarcheia,Has Property
21104373,Neapoli,Has Property
12697281,Slotervaart,Has Property
10363053,NULL,Has Property
16747672,Clarksville,Has Property
118559889,Dawson,Has Property
8709579,East Downtown,Has Property
20369197,NULL,Has Property
7523465,Barton Hills,Has Property
26750813,Travis Heights,Has Property
1657958,South Lamar,Has Property
37672355,NULL,Has Property
115320110,West Campus,Has Property
1635128,NULL,Has Property
2129970,La Sagrada Família,Has Property
60543012,NULL,Has Property
44198682,Rainey Street,Has Property
14871323,Sants-Montjuïc,Has Property
20518818,Sants-Montjuïc,Has Property
3594411,Glòries - El Parc,Has Property
55894924,NULL,Has Property
123994461,Votanikos,Has Property
95976504,Gazi,Has Property
5651747,El Raval,Has Property
56472278,NULL,Has Property
10448928,El Raval,Has Property
2346691,NULL,Has Property
42560385,Mitte,Has Property
6605901,NULL,Has Property
87442687,Moabit,Has Property
22276081,NULL,Has Property
11285803,Kreuzberg,Has Property
62767165,NULL,Has Property
6894479,NULL,Has Property
4126654,Kreuzberg,Has Property
177094,Prenzlauer Berg,Has Property
41939648,NULL,Has Property
7755093,NULL,Has Property
38357328,Prenzlauer Berg,Has Property
113722674,NULL,Has Property
19173196,NULL,Has Property
12580076,Neukölln,Has Property
11503472,Frederik Hendrikbuurt,Has Property
26613490,L'Antiga Esquerra de l'Eixample,Has Property
24112000,Dreta de l'Eixample,Has Property
10704,Sant Antoni,Has Property
7999117,Frederiksberg,Has Property
29683181,NULL,Has Property
473410,Avondale,Has Property
108027180,Pilsen,Has Property
33264189,Vesterbro,Has Property
7506003,Vesterbro,Has Property
38579371,Vesterbro,Has Property
32559728,NULL,Has Property
14923446,Amager Øst,Has Property
7287527,Amagerbro,Has Property
131422018,Valby,Has Property
78128567,NULL,Has Property
6099327,Vesterbro,Has Property
50510260,København NV,Has Property
14988775,Amager Vest,Has Property
33047819,Østerbro,Has Property
74188020,NULL,Has Property
126737743,Nørrebro,Has Property
7101345,Nørrebro,Has Property
82154215,Indre By,Has Property
68343934,Brockley,Has Property
38215134,NULL,Has Property
1940607,NULL,Has Property
17977664,Richmond,Has Property
23185644,LB of Richmond upon Thames,Has Property
4158350,Richmond,Has Property
43808630,Walworth,Has Property
62001855,Forest Hill,Has Property
21690755,Hammersmith,Has Property
5127677,NULL,Has Property
51444024,NULL,Has Property
16647306,Pimlico,Has Property
24643642,NULL,Has Property
17715002,Hampstead,Has Property
9379912,NULL,Has Property
107783672,Bow,Has Property
53846107,Bayswater,Has Property
6979312,Bayswater,Has Property
10276413,Southwark,Has Property
57508313,Walworth,Has Property
18027936,Earlsfield,Has Property
16311618,NULL,Has Property
16074461,Shepherd's Bush,Has Property
52032457,Hammersmith,Has Property
43885086,Balham,Has Property
30682134,Belgravia,Has Property
7765030,Mar Vista,Has Property
48892487,Lomita,Has Property
51762216,Long Beach,Has Property
50992900,Marina Del Rey,Has Property
12358058,NULL,Has Property
42825289,Palms,Has Property
3942356,Palms,Has Property
6244532,Pasadena,Has Property
25681621,West Los Angeles,Has Property
91600545,NULL,Has Property
7729723,South Robertson,Has Property
678493,Santa Monica,Has Property
21862842,Santa Monica,Has Property
85130431,Santa Monica,Has Property
4388250,Hollywood Hills,Has Property
160557,Santa Monica,Has Property
76672821,NULL,Has Property
117429579,Notting Hill,Has Property
4401190,Notting Hill,Has Property
91498614,NULL,Has Property
7807413,Lisson Grove,Has Property
28820321,Covent Garden,Has Property
483940,City of Westminster,Has Property
21081805,St. John's Wood,Has Property
37948544,Sylmar,Has Property
2656381,Encino,Has Property
18658375,Topanga,Has Property
2944598,Somers Town,Has Property
10770471,Hampstead,Has Property
3008292,NULL,Has Property
118335550,LB of Newham,Has Property
56756593,LB of Barking and Dagenham,Has Property
88026367,Bel Air/Beverly Crest,Has Property
4306341,Mid-Wilshire,Has Property
92692831,NULL,Has Property
3485266,Del Rey,Has Property
101876577,Hackney,Has Property
2838027,Dalston,Has Property
3002003,Mid-Wilshire,Has Property
79697,Hollywood,Has Property
20649292,Indre By,Has Property
119578622,NULL,Has Property
46394699,NULL,Has Property
3109724,Nørrebro,Has Property
7606074,NULL,Has Property
98004892,Nørrebro,Has Property
21451836,Valby,Has Property
96831885,NULL,Has Property
52660919,Islands Brygge,Has Property
127270,NULL,Has Property
26956641,Lewisham,Has Property
3217459,RB of Greenwich,Has Property
48645021,NULL,Has Property
50870657,Cahuenga Pass,Has Property
8738435,Silver Lake,Has Property
99058393,NULL,Has Property
31028904,NULL,Has Property
5046349,Millbank,Has Property
46061454,NULL,Has Property
2608240,Hammersmith,Has Property
113070152,NULL,Has Property
14066216,NULL,Has Property
32399602,NULL,Has Property
34189931,Hammersmith,Has Property
70891001,NULL,Has Property
5621928,Hammersmith,Has Property
101992768,Paddington,Has Property
82436841,Bayswater,Has Property
30961115,Earls Court,Has Property
23874587,Mayfair,Has Property
8856887,Covent Garden,Has Property
26208141,Fitzrovia,Has Property
63366623,NULL,Has Property
89001474,Torrance,Has Property
2134331,NULL,Has Property
28709938,Hochelaga-Maisonneuve,Has Property
5707748,Ahuntsic-Cartierville,Has Property
21364860,NULL,Has Property
15248568,Verdun,Has Property
55152220,Villeray-Saint-Michel-Parc-Extension,Has Property
7095893,NULL,Has Property
32008006,NULL,Has Property
31870579,NULL,Has Property
114353388,NULL,Has Property
106842262,NULL,Has Property
21120844,NULL,Has Property
20875666,South Melbourne,Has Property
2986266,Parkville,Has Property
6458973,Central Business District,Has Property
35696607,Central Business District,Has Property
53996101,East Melbourne,Has Property
34315367,Ville-Marie,Has Property
1656323,Griffintown,Has Property
6518033,Richmond,Has Property
2969481,Brunswick,Has Property
13681422,Fitzroy North,Has Property
47280584,NULL,Has Property
12487348,NULL,Has Property
10577568,Le Plateau,Has Property
31486085,NULL,Has Property
1238270,NULL,Has Property
33202948,Outremont,Has Property
85976065,NULL,Has Property
27053645,Central City,Has Property
130421946,Algiers,Has Property
11081405,Riverbend,Has Property
45004721,NULL,Has Property
17925327,Sants-Montjuïc,Has Property
2937042,Vila de Gràcia,Has Property
63121665,NULL,Has Property
10128014,NULL,Has Property
20807361,Mitte,Has Property
2986376,Mitte,Has Property
99038139,el Fort Pienc,Has Property
10639570,La Sagrada Família,Has Property
33727742,NULL,Has Property
1836488,Rivierenbuurt,Has Property
43567226,NULL,Has Property
3744884,Oud-West,Has Property
33930689,Slotervaart,Has Property
