id,state,country,city
9305329,NSW,Australia,Saint Leonards
14223637,NSW,Australia,Freshwater
64618288,Noord-Holland,Netherlands,Amsterdam
33363973,Noord-Holland,Netherlands,Amsterdam
43103457,Noord-Holland,Netherlands,Amsterdam
9278374,Daniel Stalpertstraat,Netherlands,Amsterdam
8953423,Noord-Holland,Netherlands,Amsterdam
10198755,Berlin,Germany,Berlin
396363,Catalonia,Spain,Barcelona
84094854,Catalunya,Spain,Barcelona
102947901,Barcelona,Spain,Barcelona
19481791,Barcelona,Spain,Barcelona
15693554,Catalunya,Spain,Barcelona
35666153,Catalonia,Spain,Barcelona
2394743,Catalonia,Spain,Barcelona
7032776,Barcelona,Spain,Barcelona
59294925,Catalunya,Spain,Barcelona
4822399,Berlin,Germany,Berlin
14232996,Berlin,Germany,Berlin
58186316,TX,United States,Austin
35690045,Catalunya,Spain,Barcelona
102733863,Catalunya,Spain,Barcelona
17817358,Catalunya,Spain,Barcelona
2976480,Berlin,Germany,Berlin
49741483,Berlin,Germany,Berlin
3468407,Berlin,Germany,Berlin
15800623,Berlin,Germany,Berlin
102206197,Berlin,Germany,Berlin
12073600,Berlin,Germany,Berlin
31703837,Berlin,Germany,Berlin
5609794,Berlin,Germany,Berlin
84228805,Berlin,Germany,Berlin
20222471,Berlin,Germany,Berlin
3789531,Berlin,Germany,Berlin
1464268,Berlin,Germany,Berlin
3339272,Berlin,Germany,Berlin
14352380,Berlin,Germany,Berlin
106784004,Berlin,Germany,Berlin
26308500,Berlin,Germany,Berlin
26514080,Berlin,Germany,Berlin
23242776,Noord-Holland,Netherlands,Amsterdam
2745577,Catalunya,Spain,Barcelona
1791796,Catalonia,Spain,Barcelona
106269512,Catalunya,Spain,Barcelona
29122242,TX,United States,Austin
42632767,TX,United States,Austin
21912193,TX,United States,Austin
31470830,Berlin,Germany,Berlin
10606456,Berlin,Germany,Berlin
39588647,Berlin,Germany,Berlin
63410294,Berlin,Germany,Berlin
3387042,MA,United States,Boston
4005189,,Greece,Athina
4248171,Attica,Greece,Kentrikos Tomeas Athinon
11681122,,Greece,Athina
58684069,Attica,Greece,Athens
71429907,,Greece,Athina
2289590,Attica,Greece,Athens
983886,Catalonia,Spain,Barcelona
58691190,Catalunya,Spain,Barcelona
17211749,Catalonia,Spain,Barcelona
4228273,Catalonia,Spain,Barcelona
22493110,Catalonia,Spain,Barcelona
102232639,Catalunya,Spain,Barcelona
3038266,Catalonia,Spain,Barcelona
116980696,Catalunya,Spain,Barcelona
6832018,Cataluña,Spain,Barcelona
26593914,Catalunya,Spain,Barcelona
3625681,Catalunya,Spain,Barcelona
23289152,Barcelona,Spain,Barcelona
12685758,Catalonia,Spain,Barcelona
14376117,Noord-Holland,Netherlands,Amsterdam
4366178,Noord-Holland,Netherlands,Amsterdam
98833051,Noord-Holland,Netherlands,Amsterdam
106496433,Noord-Holland,Netherlands,Amsterdam
29340861,North Holland,Netherlands,Amsterdam
20464207,Noord-Holland,Netherlands,Amsterdam
59203536,Vlaanderen,Belgium,Antwerpen
10503075,North Holland,Netherlands,Amsterdam
1923767,Noord-Holland,Netherlands,Amsterdam
33633903,North Holland,Netherlands,Amsterdam
2228424,,Greece,Athina
50066663,Noord-Holland,Netherlands,Amsterdam
17691673,Noord-Holland,Netherlands,Amsterdam
6419611,Noord-Holland,Netherlands,Amsterdam
9419684,MA,United States,Boston
412644,TX,United States,Austin
7345137,TX,United States,Austin
34775340,TX,United States,Austin
114090688,TX,United States,Austin
24935151,TX,United States,Austin
93671503,TX,United States,Austin
66526724,TX,United States,Austin
537883,TX,United States,Austin
43044307,TX,United States,Austin
24797843,TX,United States,Austin
20680433,TX,United States,Austin
115578515,TX,United States,Austin
11579852,TX,United States,Austin
4122442,TX,United States,Austin
35652732,,Greece,Athina
36557664,,Greece,Athina
25750024,TX,United States,Austin
16757186,TX,United States,Austin
72743983,County Dublin,Ireland,Dublin
7801410,Dublin,Ireland,Ballsbridge
12567886,Dublin,Ireland,Dublin
12317226,Dublin,Ireland,Dublin
16470216,,Denmark,København
47967707,,Denmark,København
60482976,,Denmark,København
3474557,,Denmark,København
28098229,,Denmark,København
78674904,,Denmark,København
16542598,,Denmark,København
67593361,Midlothian,United Kingdom,Edinburgh
14477078,,United Kingdom,Edinburgh
43248680,Greater London,United Kingdom,Chislehurst
47366027,England,United Kingdom,Chiswick
12243051,IL,United States,Chicago
4336170,IL,United States,Chicago
33127842,IL,United States,Chicag
41759131,,Denmark,København
107895488,,Denmark,København
1006155,IL,United States,Chicago
22825630,IL,United States,Chicago
4869973,,Denmark,Frederiksberg
65212765,,Denmark,Frederiksberg
3105769,,Denmark,Frederiksberg
60883868,,Denmark,København
33889201,England,United Kingdom,London
116723407,England,United Kingdom,London
16698845,Berlin,Germany,Berlin
2436760,Berlin,Germany,Berlin
10889473,Berlin,Germany,Berlin
16630735,Berlin,Germany,Berlin
21679993,Berlin,Germany,Berlin
14785872,North Holland,Netherlands,Amsterdam
871297,Noord-Holland,Netherlands,Amsterdam
8705170,Vlaanderen,Belgium,Antwerpen
30416812,Noord-Holland,Netherlands,Amsterdam
48703385,Noord-Holland,Netherlands,Amsterdam
8153186,Noord-Holland,Netherlands,Amsterdam
2204326,North Holland,Netherlands,Amsterdam
80941904,Noord-Holland,Netherlands,Amsterdam
2309485,North Holland,Netherlands,Amsterdam
36533386,Noord-Holland,Netherlands,Amsterdam
75206611,Noord-Holland,Netherlands,Amsterdam
8362084,Noord-Holland,Netherlands,Amsterdam
3155928,North Holland,Netherlands,Amsterdam
19630412,Noord-Holland,Netherlands,Amsterdam
104500632,Αττικη,Greece,Αθήνα
23142038,Πλάκα,Greece,Αθήνα
30368314,,Greece,Athina
21104373,,Greece,Athina
12697281,Noord-Holland,Netherlands,Amsterdam
10363053,North Holland,Netherlands,Amsterdam
16747672,TX,United States,Austin
118559889,TX,United States,Austin
8709579,TX,United States,Austin
20369197,TX,United States,Austin
7523465,TX,United States,Austin
26750813,TX,United States,Austin
1657958,TX,United States,Austin
37672355,TX,United States,Austin
115320110,TX,United States,Austin
1635128,,Spain,Barcelona
2129970,Barcelona,Spain,Barcelona
60543012,TX,United States,Austin
44198682,TX,United States,Austin
14871323,Barcelona,Spain,Barcelona
20518818,Catalunya,Spain,Barcelona
3594411,Catalonia,Spain,Barcelona
55894924,Attiki,Greece,Αθήνα
123994461,,Greece,Athina
95976504,,Greece,Athens
5651747,Catalunya,Spain,Barcelona
56472278,Catalunya,Spain,Barcelona
10448928,Catalunya,Spain,Barcelona
2346691,Catalunya,Spain,Barcelona
42560385,Berlin,Germany,Berlin
6605901,Berlin,Germany,Berlin
87442687,Berlin,Germany,Berlin
22276081,Berlin,Germany,Berlin
11285803,Berlin,Germany,Berlin
62767165,Berlin,Germany,Berlin
6894479,Berlin,Germany,Berlin
4126654,Berlin,Germany,Berlin
177094,Berlin,Germany,Berlin
41939648,Berlin,Germany,Berlin
7755093,Berlin,Germany,Berlin
38357328,Berlin,Germany,Berlin
113722674,Berlin,Germany,Berlin
19173196,Berlin,Germany,Berlin
12580076,Berlin,Germany,Berlin
11503472,North Holland,Netherlands,Amsterdam
26613490,Catalunya,Spain,Barcelona
24112000,Catalunya,Spain,Barcelona
10704,Catalunya,Spain,Barcelona
7999117,,Denmark,Frederiksberg
29683181,,Denmark,Frederiksberg
473410,IL,United States,Chicago
108027180,IL,United States,Chicago
33264189,,Denmark,København
7506003,Capital Region of Denmark,Denmark,København
38579371,,Denmark,Copenhagen
32559728,,Denmark,København
14923446,,Denmark,København
7287527,Capital Region of Denmark,Denmark,Copenhagen
131422018,,Denmark,København
78128567,,Denmark,København
6099327,Capital Region of Denmark,Denmark,Copenhagen
50510260,,Denmark,København
14988775,Hovedstaden,Denmark,København
33047819,,Denmark,København
74188020,,Denmark,København
126737743,,Denmark,København
7101345,,Denmark,København
82154215,,Denmark,København
68343934,,United Kingdom,London
38215134,England,United Kingdom,London
1940607,,United Kingdom,Teddington
17977664,,United Kingdom,Richmond
23185644,,United Kingdom,Twickenham
4158350,England,United Kingdom,Richmond
43808630,,United Kingdom,London
62001855,,United Kingdom,London
21690755,,United Kingdom,London
5127677,England,United Kingdom,London
51444024,,United Kingdom,London
16647306,England,United Kingdom,London
24643642,,United Kingdom,London
17715002,,United Kingdom,London
9379912,Angleterre,United Kingdom,Londres
107783672,England,United Kingdom,London
53846107,,United Kingdom,London
6979312,,United Kingdom,London
10276413,,United Kingdom,London
57508313,England,United Kingdom,London
18027936,England,United Kingdom,London
16311618,,United Kingdom,London
16074461,England,United Kingdom,London
52032457,,United Kingdom,London
43885086,,United Kingdom,London
30682134,England,United Kingdom,London
7765030,CA,United States,Los Angeles
48892487,CA,United States,Lomita
51762216,CA,United States,Long Beach
50992900,CA,United States,Marina del Rey
12358058,CA,United States,Los Angeles
42825289,CA,United States,Los Angeles
3942356,CA,United States,Los Angeles
6244532,CA,United States,Pasadena
25681621,CA,United States,Los Angeles
91600545,CA,United States,Rowland Heights
7729723,CA,United States,Los Angeles
678493,CA,United States,Santa Monica
21862842,CA,United States,Santa Monica
85130431,CA,United States,Santa Monica
4388250,CA,United States,Los Angeles
160557,CA,United States,Santa Monica
76672821,CA,United States,San Gabriel
117429579,England,United Kingdom,London
4401190,,United Kingdom,London
91498614,,United Kingdom,London
7807413,England,United Kingdom,London
28820321,,United Kingdom,London
483940,England,United Kingdom,London
21081805,,United Kingdom,London
37948544,CA,United States,Los Angeles
2656381,CA,United States,Los Angeles
18658375,CA,United States,Topanga
2944598,England,United Kingdom,London
10770471,,United Kingdom,London
3008292,England,United Kingdom,London
118335550,England,United Kingdom,London
56756593,,United Kingdom,Dagenham
88026367,CA,United States,Los Angeles
4306341,CA,United States,Los Angeles
92692831,England,United Kingdom,London
3485266,CA,United States,Culver City
101876577,England,United Kingdom,London
2838027,England,United Kingdom,London
3002003,CA,United States,West Hollywood
79697,CA,United States,Los Angeles
20649292,,Denmark,København
119578622,,Denmark,København
46394699,Vanløse,Denmark,København
3109724,Capital Region of Denmark,Denmark,Copenhagen
7606074,DK,Denmark,København
98004892,,Denmark,København
21451836,,Denmark,København
96831885,,Denmark,København
52660919,,Denmark,København
127270,,Denmark,København
26956641,,United Kingdom,London
3217459,London,United Kingdom,Woolwich Arsenal
48645021,London,United Kingdom,London
50870657,CA,United States,Los Angeles
8738435,CA,United States,Los Angeles
99058393,London,United Kingdom,London
31028904,England,United Kingdom,London
5046349,England,United Kingdom,London
46061454,,United Kingdom,London
2608240,England,United Kingdom,London
113070152,,United Kingdom,London
14066216,,United Kingdom,London
32399602,England,United Kingdom,London
34189931,England,United Kingdom,London
70891001,,United Kingdom,London
5621928,,United Kingdom,London
101992768,England,United Kingdom,London
82436841,England,United Kingdom,London
30961115,,United Kingdom,London
23874587,,United Kingdom,London
8856887,England,United Kingdom,London
26208141,,United Kingdom,London
63366623,london,United Kingdom,London
89001474,CA,United States,Torrance
2134331,CA,United States,Malibu
28709938,Québec,Canada,Montréal
5707748,Québec,Canada,Montréal
21364860,Québec,Canada,Montréal
15248568,Québec,Canada,Montréal
55152220,Québec,Canada,Montréal
7095893,Québec,Canada,Montréal
32008006,TN,United States,Nashville
31870579,TN,United States,Nashville
114353388,LA,United States,New Orleans
106842262,VIC,Australia,Forest Hill
21120844,VIC,Australia,Sassafras
20875666,VIC,Australia,South Melbourne
2986266,VIC,Australia,Parkville
6458973,VIC,Australia,Melbourne
35696607,VIC,Australia,Melbourne
53996101,VIC,Australia,East Melbourne
34315367,Québec,Canada,Montréal
1656323,QC,Canada,Montreal
6518033,VIC,Australia,Richmond
2969481,VIC,Australia,Brunswick
13681422,VIC,Australia,Fitzroy North
47280584,VIC,Australia,Brighton East
12487348,VIC,Australia,Hampton
10577568,Québec,Canada,Montréal
31486085,Québec,Canada,Montréal
1238270,Québec,Canada,Montréal
33202948,Québec,Canada,Montréal
85976065,TN,United States,Nashville
27053645,LA,United States,New Orleans
130421946,LA,United States,New Orleans
11081405,LA,United States,New Orleans
45004721,LA,United States,New Orleans
17925327,Catalonia,Spain,Barcelona
2937042,Catalunya,Spain,Barcelona
63121665,Catalunya,Spain,Barcelona
10128014,Catalonia,Spain,Barcelona
20807361,Berlin,Germany,Berlin
2986376,Berlin,Germany,Berlin
99038139,Catalunya,Spain,Barcelona
10639570,Catalonia,Spain,Barcelona
33727742,Noord-Holland,Netherlands,Amsterdam
1836488,Noord-Holland,Netherlands,Amsterdam
43567226,Noord-Holland,Netherlands,Amsterdam
3744884,Noord-Holland,Netherlands,Amsterdam
33930689,Noord-Holland,Netherlands,Amsterdam
32647433,Berlin,Germany,Berlin
33259689,Berlin,Germany,Berlin
13599612,Berlin,Germany,Berlin
6782131,Berlin,Germany,Berlin
18034246,Berlin,Germany,Berlin
9765401,Berlin,Germany,Berlin
59442407,Berlin,Germany,Berlin
15415749,Berlin,Germany,Berlin
4579160,Berlin,Germany,Berlin
78195405,Berlin,Germany,Berlin
57704817,Berlin,Germany,Berlin
27017069,Berlin,Germany,Berlin
68090517,Berlin,Germany,Berlin
36506009,Berlin,Germany,Berlin
11966344,Berlin,Germany,Berlin
721378,Catalunya,Spain,Barcelona
10287576,Catalunya,Spain,Barcelona
38658072,Catalunya,Spain,Barcelona
612665,Catalunya,Spain,Barcelona
99734086,Catalunya,Spain,Barcelona
3028710,Catalunya,Spain,Barcelona
21825503,Catalunya,Spain,Barcelona
3094972,Catalunya,Spain,Barcelona
87235715,Catalunya,Spain,Barcelona
26052422,Catalunya,Spain,Barcelona
7016191,Catalunya,Spain,Barcelona
13092213,Berlin,Germany,Berlin
61347438,Berlin,Germany,Berlin
13296748,Berlin,Germany,Berlin
35652732,Efpatridon,Greece,Athina
48703385,Noord-Holland,Netherlands,Amsterdam
27090599,Noord-Holland,Netherlands,Amsterdam
51577494,Noord-Holland,Netherlands,Amsterdam
15879881,Noord-Holland,Netherlands,Amsterdam
72251520,Noord-Holland,Netherlands,Amsterdam
4578091,Noord-Holland,Netherlands,Amsterdam
17593168,Noord-Holland,Netherlands,Amsterdam
109094834,Noord-Holland,Netherlands,Amsterdam
54185406,Noord-Holland,Netherlands,Amsterdam
42742773,,Greece,Athina
51315245,Noord-Holland,Netherlands,Amsterdam
122373855,,Greece,Athina
3593793,,Greece,Athina
6068569,,Greece,Athina
8795077,Noord-Holland,Netherlands,Amsterdam
1789339,NY,United States,New York
15604776,NY,United States,Queens
21150873,NY,United States,Brooklyn
69382813,NY,United States,Brooklyn
37185194,NY,United States,Astoria
987941,NY,United States,Brooklyn
5098585,CA,United States,Oakland
54551144,NSW,Australia,Angourie
1347272,NSW,Australia,East Ballina
1012583,NY,United States,Brooklyn
13835811,NY,United States,Brooklyn
593115,NY,United States,Brooklyn
15712909,Noord-Holland,Netherlands,Amsterdam
15985137,NY,United States,New York
5362703,NY,United States,Brooklyn
376084,NY,United States,Brooklyn
8813858,NY,United States,Brooklyn
33346283,NY,United States,New York
1583594,NY,United States,New York
4558120,NY,United States,New York
5334697,NY,United States,New York
50289490,NY,United States,New York
35927005,NY,United States,Brooklyn
1830214,Comunidad de Madrid,Spain,Madrid
51929347,Comunidad de Madrid,Spain,Madrid
30371786,VIC,Australia,West Melbourne
140701,VIC,Australia,Fitzroy
123018283,VIC,Australia,Saint Kilda
13804696,VIC,Australia,Saint Kilda
9496787,VIC,Australia,Port Melbourne
100158605,Illes Balears,Spain,Puigpunyent
67065426,Illes Balears,Spain,Es Pil.larí
29745883,Illes Balears,Spain,Palma
72496199,Illes Balears,Spain,Palma
108353392,Illes Balears,Spain,Palma
4582110,VIC,Australia,Richmond
1681836,VIC,Australia,Truganina
57454071,VIC,Australia,Glen Waverley
114446095,VIC,Australia,Yarra Glen
10580605,VIC,Australia,Brunswick
47239353,VIC,Australia,Melbourne
19620207,Flanders,Belgium,Antwerp
34416465,Vlaanderen,Belgium,Antwerpen
14710016,,Greece,Athens
27903197,TX,United States,Austin
20985179,TX,United States,Austin
6745750,TX,United States,Austin
114622910,,Greece,Athina
17940062,TX,United States,Austin
61834177,TX,United States,Austin
36507423,Noord-Holland,Netherlands,Amsterdam
51642830,Berlin,Germany,Berlin
9756594,Berlin,Germany,Berlin
45461899,Berlin,Germany,Berlin
88638098,Berlin,Germany,Berlin
41795618,Berlin,Germany,Berlin
27952946,Berlin,Germany,Berlin
5245644,TX,United States,Austin
39506137,Catalunya,Spain,Barcelona
24812575,Catalunya,Spain,Barcelona
96193497,CT,Spain,Barcelona
32901587,Berlin,Germany,Berlin
63401682,Berlin,Germany,Berlin
10513357,IL,United States,Chicago
1185573,IL,United States,Chicago
16560215,Bruxelles,Belgium,Bruxelles
76759250,Bruxelles,Belgium,Bruxelles
39524100,Bruxelles,Belgium,Ixelles
15816010,Bruxelles,Belgium,Ixelles
16165046,Bruxelles,Belgium,Ixelles
14042940,IL,United States,Chicago
4653380,MA,United States,Roslindale
71783,MA,United States,Boston
845174,MA,United States,Boston
56415751,MA,United States,Boston
16881770,MA,United States,Boston
16247061,Bruxelles,Belgium,Uccle
45803947,Bruxelles,Belgium,Bruxelles
35401368,Bruxelles,Belgium,Berchem-Sainte-Agathe
37211819,London,United Kingdom,London
67890422,England,United Kingdom,London
26531419,,United Kingdom,Edinburgh
86134089,Dublin,Ireland,Dublin
62510358,County Dublin,Ireland,Dublin
55957261,County Dublin,Ireland,Dublin
4370528,Dublin,Ireland,Ranelagh
24373009,County Dublin,Ireland,Dublin
1814506,,United Kingdom,London
21960212,England,United Kingdom,Wembley
12206279,England,United Kingdom,London
3557181,,United Kingdom,London
29852577,MA,United States,Boston
11071285,MA,United States,Boston
5915565,Capital Region of Denmark,Denmark,Frederiksberg / København
12986607,,Denmark,Frederiksberg
118486219,IL,United States,Chicago
119773246,,Denmark,København
6708889,Hong Kong Island,Hong Kong,Hong Kong
51033251,Hong Kong Island,Hong Kong,Hong Kong
23362975,Kowloon,Hong Kong,Hong Kong
55871375,Kowloon,Hong Kong,Tsim Sha Tsui
55870825,Kowloon,Hong Kong,Hong Kong
66131192,香港島,Hong Kong,Hong kong
18160595,Hong Kong Island,Hong Kong,Hong Kong
45496468,Berlin,Germany,Berlin
2707104,CT,Spain,Barcelona
23290295,Catalonia,Spain,Barcelona
39506137,Catalunya,Spain,Barcelona
2023221,Catalonia,Spain,Barcelona
4472095,Catalunya,Spain,Barcelona
34006291,Berlin,Germany,Berlin
26670019,Berlin,Germany,Berlin
58186785,TX,United States,Austin
11440823,Attica,Greece,Athens
4712774,TX,United States,Austin
12604026,TX,United States,Austin
1156357,TX,United States,Austin
1148288,TX,United States,Austin
1614097,TX,United States,Austin
36390549,TX,United States,Austin
28419951,TX,United States,Austin
299462,Catalunya,Spain,Barcelona
9323748,Noord-Holland,Netherlands,Amsterdam
2320210,Barcelona,Spain,Barcelona
92392823,Catalunya,Spain,Barcelona
31642240,Barcelona,Spain,Barcelona
14262229,Catalonia,Spain,Barcelona
27789579,Catalunya,Spain,Barcelona
49577798,Catalunya,Spain,Barcelona
